a,pos_x,freq_y
0,-20,0
1,-19,0
2,-18,0
3,-17,0
4,-16,0
5,-15,0
6,-14,0
7,-13,0
8,-12,0
9,-11,0
10,-10,0
11,-9,0
12,-8,1
13,-7,0
14,-6,2
15,-5,0
16,-4,4
17,-3,0
18,-2,14
19,-1,0
20,0,22
21,1,0
22,2,76
23,3,0
24,4,122
25,5,0
26,6,162
27,7,0
28,8,183
29,9,0
30,10,177
31,11,0
32,12,124
33,13,0
34,14,76
35,15,0
36,16,29
37,17,0
38,18,8
39,19,0
40,20,0
