a,pos_x,freq_y
0,-20,0
1,-19,0
2,-18,0
3,-17,0
4,-16,18
5,-15,0
6,-14,153
7,-13,0
8,-12,158
9,-11,0
10,-10,35
11,-9,0
12,-8,51
13,-7,0
14,-6,40
15,-5,0
16,-4,37
17,-3,0
18,-2,37
19,-1,0
20,0,44
21,1,0
22,2,30
23,3,0
24,4,30
25,5,0
26,6,46
27,7,0
28,8,50
29,9,0
30,10,37
31,11,0
32,12,135
33,13,0
34,14,109
35,15,0
36,16,14
37,17,0
38,18,0
39,19,0
40,20,0
