a,pos_x,freq_y
0,-20,0
1,-19,0
2,-18,0
3,-17,0
4,-16,15
5,-15,0
6,-14,205
7,-13,0
8,-12,303
9,-11,0
10,-10,18
11,-9,0
12,-8,62
13,-7,0
14,-6,58
15,-5,0
16,-4,29
17,-3,0
18,-2,23
19,-1,0
20,0,36
21,1,0
22,2,37
23,3,0
24,4,34
25,5,0
26,6,27
27,7,0
28,8,10
29,9,0
30,10,45
31,11,0
32,12,33
33,13,0
34,14,79
35,15,0
36,16,10
37,17,0
38,18,0
39,19,0
40,20,0
